abis,habis
abisin,habis
abisnya,habisnya
abistu,habis itu
abusanya,busanya
acne prone,wajah berjerawat
acne,jerawat
acneprone,jerawat
acnes,jerawat
acnesnya,jerawat
active,aktif
actives,aktif
adaa,ada
adalahmake,adalah pakai
adang,kadang
adatoner,ada toner
adekku,adek ku
adikku,adik ku
adl,adil
adlh,adalah
aer,air
afa,ada
afdol,ampuh
afforadable,terjangkau
afford,terjangkau
affordable,terjangkau
afordable,terjangkau
after,setelah
afterapply,setelah pakai
afternya,setelah
aftertaste,setelah pakai
afteusenya,setelah pakai
ajaibkuu,ajaib aku
ajasih,aja
akhirnya,akhir
akhrinya,akhir
akrna,karena
aktifitas,aktivitas
aktivitas,aktifitas
aktivitasku,aktifitas
akulit,kulit
akum,aku
akumahh,aku
akun,aku
akutuh,aku
alcohol,alkohol
alcoholnya,alkohol
alesan,alasan
alesannya,alasan
alhasik,alhasil
alkoholnyaa,alkohol
allergen,alergi
aloe,alovera
alovera,aloevera
alternative,alternatif
alus,halus
always,selalu
ama,sama
amaze,kagum
amazed,kagum
amazenya,kagum
amazing,kagum
ampe,sampai
ampoulenya,ampoule
ampuhbnrbnr,ampuh benar
andalah,andalan
andelin,andal
anehh,aneh
anehnya,aneh
angakat,angkat
angkatbersihcerah,angkat bersih cerah
annoying,ganggu
anotherr,another
anoying,ganggu
antaranya,antara
antibakteri,anti bakteri
antioksidan,anti oksidan
apes,sial
aplikator,pakai
aplikatornya,pakai
aply,pakai
aplying,pakai
applied,pakai
apply,pakai
approved,setuju
apus,hapus
aqu,aku
aromanaya,aroma
artitel,artikel
asa,ada
aseli,asli
ato,atau
atw,atau
awat,awet
awlanya,awal
awrt,awet
bad,buruk
badantube,badan
bagikalian,bagi kalian
bagua,bagus
bagun,bagus
bagusny,bagus
bagusnysel,bagus
baguspol,bagus
baguss,bagus
bagussbgt,bagus banget
bahanya,bahan
bahayaaman,bahaya aman
bahkann,bahkan
bahkn,bahkan
baiks,baik
bakal,akan
balancing,imbang
balek,balik
balikaku,balik aku
balum,belum
bandel,bandal
bandingin,banding
bandungg,bandung
bangat,banget
banged,banget
bangeet,banget
bangeett,banget
banger,banget
banget,banget
bangetbanget,banget
bangett,banget
bangey,banget
bangus,bagus
banhet,banget
banhget,banget
bantuu,bantu
banya,banyak
banyaakk,banyak
banyakk,banyak
banyakmuncul,banyak muncul
banyk,banyak
baran,barang
barangkali,barang kali
barcode,kode
barcodenya,kode
bare,wajah asli
bareface,wajah asli
barengin,bareng
barier,barrier
barierr,barrier
barrier,barrier
barrier,dasar
barrierku,barrier
barumeski,baru meskipun
baruu,baru
basa,basah
base,dasar
based,dasar
basic,dasar
basicnya,dasar
bauk,bau
bawak,bawa
bayangin,bayang
bberapa,berapa
bbrp,beberapa
bcs,karena
beauties,cantik
beauty,cantik
beberaapa,beberapa
beberap,beberapa
bebrapa,beberapa
because,karena
before,sebelum
bekurang,berkurang
bel,beli
belom,belum
belu,beli
benarterasa,benar terasa
bene,manfaat
benee,manfaat
benefit,manfaat
benefitnya,manfaat
benefits,manfaat
bener,benar
benera,benar
beneran,benar
benerann,benar
benerbener,benar
bengkuang,bengkoang
benjol,bentol
bentolanya,bentok
bentukny,bentuknya
benwr,benar
benzoyl,benjol
beradptasi,beradaptasi
beraktifitas,aktivitas
beranii,berani
beraniin,berani
berasa,rasa
berasanya,rasa
berbulan,bulan
berbulanbulan,bulan bulan
berekasinya,bereaksi
berekspektasi,ekspektasi
berekspetasi,ekspektasi
berentiin,berhenti
beres,selesai
berfragrance,parfum
berharap,harap
berhentiin,berhenti
berishinnya,bersih
berisihin,bersih
berisihin,bersihi
berjasaa,berjasa
berlendirr,berlendir
bermakeup,makeup
bermanfat,manfaat
berminyakan,berminyak
berminyk,minyak
bernapas,bernafas
bershin,bersih
bersihan,bersih
bersihbgt,bersih banger
bersihh,bersih
bersihin,bersih
bersihinin,bersih
bersihinnya,bersih
bersiih,bersih
bersiin,bersih
bertestur,bertekstur
bertexture,bertekstur
beruntus,bruntus
beruntusan,bruntus
beruntusantentu,bruntus tentu
beruntusanya,bruntus
best,bagus
best,terbaik
bestseler,laris
bestt,bagus
bete,kesal
beter,lebih baik
better,lebih baik
bgd,banget
bgiann,bagian
bgni,begini
bgs,bagus
bgt,banget
bgtbeberapa,banget beberapa
bgtbgt,banget
bgtbgtbgt,banget
bgtt,banget
bgtu,begitu
bgus,bagus
bguss,bagus
bgy,bagus
bhanya,bahannya
bhumi,bumi
biarin,biar
biarpun,biar
biasaa,biasa
biat,buat
big,besar
bigno,tidak banget
biikin,buat
biki,buat
bikim,buat
bikin,buat
biking,buat
bikit,buat
bikn,buat
bilah,bila
bilg,bila
bilin,bilang
billa,bila
biodermaini,bioderma
biodherma,bioderma
biodrma,bioderma
bis,bisa
bisaa,bisa
bkin,buat
bkn,bukan
black,blackhead
blackhead,komedo
blackheadnya,komedo hitam
blackheads,blackhead
bland,pakai
blend,pakai
blendnya,pakai
blg,bilang
bli,beli
blm,belum
blom,belum
bner,benar
bnget,banget
bngt,banget
bngtbngtbbgt,banget
bnr,benar
bnran,benar
bnrbnr,benar
bnrn,benar
bnyak,banyak
bnyk,banyak
bnykan,banyak
bo,breakout
bole,boleh
boom,wow
booming,viral
boong,bohong
bosen,bosan
bosenan,bosan
boto,botol
bottle,botol
box,kotak
boxnya,kotak
brani,berani
brapa,berapa
brarti,berarti
brasa,merasa
break,breakout
breakout,jerawat
breakoutnya,breakout
brentin,berhenti
brighetningfacetoner,cerah
