favorit hampir pori pori tidak kering nutrisi bagus sangat rekomendasi	1	1	[0.93845236]
suka nigh moisturezer mantap suka belum hasil mantap cerah lembap kenyal tidak insecure ngumpul cerah bersih	1	1	[0.985531]
rasa jerawat lebih korean langsung jidat bruntus gemes cepat hilang gugling jerawat tidak efek jerawat ampuh tapi tidak	0	0	[0.06012833]
bagus penasaran harga murah tapi bau kurang suka acnol nyata tidak buruk jerawat sembuh banyak bruntus	0	0	[0.01747844]
busa lembut rasa enak cukup rata hemat cukup cocok tidak kering	1	1	[0.9197432]
bagus mampus cantik tambah minyak tapi makin lama maju mundur repurchase tidak rasa cerah	1	1	[0.7351218]
gentle murah tidak kering minus parfum tapi hati fungal jerawat trigernya myristic acidnya banyak cerah tidak tapi murah gentle	1	1	[0.7820344]
kurang bagus bersih bersih tapi tidak baik kering	0	1	[0.7095302]
terdebest hampir hampir sangat bagus jerawat bantu sedikit hilang jerawat sangat cocok cinta jerawat	1	1	[0.97699136]
suka enak tekstur enak tapi parfum kencang cepat suka lembap minyak verminyak	1	1	[0.8253206]
belum masalah jerawat tapi enak tekstur bau enak harga gampang moga cocok suka	1	1	[0.9308336]
bau ganggu tapi rasa cukup efektif jerawat akhir kondisi tidak malas bau lebih bearable	0	1	[0.52112067]
racun bisa kempes jerawat jerawat hempas lama kelam tidak buruk tidak tidak suka bruntus jerawat enak dingin tenang jerawat tapi lama efek	0	0	[0.11652333]
serum tekstur bening tidak parfum wangi cocok serum sedikit nyata timbul bruntus tekstur tapi berat jerawat prone tidak buruk bukan tidak buruk kering munkin bisa hero bagus cerah tapi jerawat prone belum rekomendasi serum	0	0	[0.03460151]
langsung jerawat super harga super lucu tapi tidak buruk isnt	0	0	[0.09103373]
belang parah cerah serum belang hempas mantap cerah	1	1	[0.94379884]
lembap gel enak lengket enak lembap tapi lama serap gel lama serap tapi suka gel bening tidak jerawat tidak panas cekit suka repurchase	1	1	[0.77691275]
lembap tidak tidak suka bau kurang lembap jerawat kurang mantap jerawat bruntus tidak lebih walaupun	0	0	[0.46977752]
cocok harga makin tidak jelek	1	0	[0.4151836]
cepat rutin hasil tambah bruntus kecil sedikit ramai cocok tapi nyata tidak	0	0	[0.07275283]
tapi efek tidak hilang jerawat penasaran jerawat muncul nyata pisah jerawat	0	0	[0.04120466]
bagus lembap cerah tidak masalah efek dingin suka warna putih hilang bekas jerawat sedikit sedikit	1	1	[0.9313631]
bau enak segar bersih cocok sensitifn tidak kering busa enak efek cerah sedep hihihihihiuhi	1	1	[0.9468036]
sensitif susah cocok jerawat sangat tapi super kering untung saran nyata cocok	1	0	[0.14397928]
tidak rasa cerah noda bekas jerawat lebih cepat tapi hampir rutin noda jerawat gtgt rekomendasi serum hilang bekas jerawat	0	1	[0.85582817]
cocok cocok nyata tidak uras enak tidak sedikit busa tapi sedikit aman tidak kering aproved bersih angkat kotor bersih hasil tidak bersih bantu bruntus jerawat cepat kering suka	1	1	[0.9682617]
tidak bisa cocok tekstur tidak masalah tapi kering muncul banyak jerawat besar besar tidak lupa bruntus belum cocok	0	0	[0.03587011]
racun langsung muncul jerawat muncul jerawat detoxifying muncul jerawat akhir henti	0	0	[0.00433993]
suka wangi enak tidak aneh tekstur bagus tidak cair tidak cepat resap suka tidak bagus belum lembap tapi malas langsung lembap repurchase	1	1	[0.9720832]
buta belum jerawat tidak nangung langsung launching hasil ancur kacau tidak ancur tidak bisa ungkap ancurnya kering gatal iritasi perih jerawat sakit tidak kuat gatal obat jerawat rasa gatal hebat lucu optimis purging bekas tidak bisa bedain purging jerawat belum jarang jerawat jerawat	0	0	[0.0015268]
