favorit hampir pori pori tidak kering nutrisi bagus sangat rekomendasi	1	1	[0.9546046]
suka nigh moisturezer mantap suka belum hasil mantap cerah lembap kenyal tidak insecure ngumpul cerah bersih	1	1	[0.9951912]
rasa jerawat lebih korean langsung jidat bruntus gemes cepat hilang gugling jerawat tidak efek jerawat ampuh tapi tidak	0	0	[0.0798811]
bagus penasaran harga murah tapi bau kurang suka acnol nyata tidak buruk jerawat sembuh banyak bruntus	0	0	[0.02188593]
busa lembut rasa enak cukup rata hemat cukup cocok tidak kering	1	1	[0.970677]
bagus mampus cantik tambah minyak tapi makin lama maju mundur repurchase tidak rasa cerah	1	1	[0.7710619]
gentle murah tidak kering minus parfum tapi hati fungal jerawat trigernya myristic acidnya banyak cerah tidak tapi murah gentle	1	1	[0.798321]
kurang bagus bersih bersih tapi tidak baik kering	0	1	[0.734898]
terdebest hampir hampir sangat bagus jerawat bantu sedikit hilang jerawat sangat cocok cinta jerawat	1	1	[0.9937922]
suka enak tekstur enak tapi parfum kencang cepat suka lembap minyak verminyak	1	1	[0.90497273]
belum masalah jerawat tapi enak tekstur bau enak harga gampang moga cocok suka	1	1	[0.95866024]
bau ganggu tapi rasa cukup efektif jerawat akhir kondisi tidak malas bau lebih bearable	0	1	[0.69894]
racun bisa kempes jerawat jerawat hempas lama kelam tidak buruk tidak tidak suka bruntus jerawat enak dingin tenang jerawat tapi lama efek	0	0	[0.22678372]
serum tekstur bening tidak parfum wangi cocok serum sedikit nyata timbul bruntus tekstur tapi berat jerawat prone tidak buruk bukan tidak buruk kering munkin bisa hero bagus cerah tapi jerawat prone belum rekomendasi serum	0	0	[0.02965683]
langsung jerawat super harga super lucu tapi tidak buruk isnt	0	0	[0.15139425]
belang parah cerah serum belang hempas mantap cerah	1	1	[0.9699415]
lembap gel enak lengket enak lembap tapi lama serap gel lama serap tapi suka gel bening tidak jerawat tidak panas cekit suka repurchase	1	1	[0.7919895]
lembap tidak tidak suka bau kurang lembap jerawat kurang mantap jerawat bruntus tidak lebih walaupun	0	0	[0.46206433]
cocok harga makin tidak jelek	1	0	[0.43040997]
cepat rutin hasil tambah bruntus kecil sedikit ramai cocok tapi nyata tidak	0	0	[0.10135588]
tapi efek tidak hilang jerawat penasaran jerawat muncul nyata pisah jerawat	0	0	[0.05390456]
bagus lembap cerah tidak masalah efek dingin suka warna putih hilang bekas jerawat sedikit sedikit	1	1	[0.9734481]
bau enak segar bersih cocok sensitifn tidak kering busa enak efek cerah sedep hihihihihiuhi	1	1	[0.9564806]
sensitif susah cocok jerawat sangat tapi super kering untung saran nyata cocok	1	0	[0.21134111]
tidak rasa cerah noda bekas jerawat lebih cepat tapi hampir rutin noda jerawat gtgt rekomendasi serum hilang bekas jerawat	0	1	[0.91472566]
cocok cocok nyata tidak uras enak tidak sedikit busa tapi sedikit aman tidak kering aproved bersih angkat kotor bersih hasil tidak bersih bantu bruntus jerawat cepat kering suka	1	1	[0.9791992]
tidak bisa cocok tekstur tidak masalah tapi kering muncul banyak jerawat besar besar tidak lupa bruntus belum cocok	0	0	[0.05025983]
racun langsung muncul jerawat muncul jerawat detoxifying muncul jerawat akhir henti	0	0	[0.0086596]
suka wangi enak tidak aneh tekstur bagus tidak cair tidak cepat resap suka tidak bagus belum lembap tapi malas langsung lembap repurchase	1	1	[0.9938661]
buta belum jerawat tidak nangung langsung launching hasil ancur kacau tidak ancur tidak bisa ungkap ancurnya kering gatal iritasi perih jerawat sakit tidak kuat gatal obat jerawat rasa gatal hebat lucu optimis purging bekas tidak bisa bedain purging jerawat belum jarang jerawat jerawat	0	0	[0.00235587]
sedih banyak cocok tapi nyata reaksi panas sensasi tidak buruk cocok tapi lama lama muncul komedo akhir henti	0	0	[0.00700614]
terlope jerawat jarang muncul cepat kering hormon kurang telur kacang pedas jerawat cocok jangan lebih belum	1	0	[0.26123977]
cocok tidak kombinasi kesat langsung segar cerah	1	1	[0.9386009]
bagus hilang bekas jerawat tapi muncul merah merah tidak aman perih tapi lama lama kasar tekstur takut bakaln bruntus sedih sangat cocok langsung	0	0	[0.06361118]
tidak lengkap rasa tidak lebih kombinasi lembap sangat kering	1	1	[0.63384044]
ekspektasi tapi dehidrasi tinggi bagus tapi bruntus muncul banyak tidak bisa lembap suka bau tekstur	0	0	[0.06640679]
enak segar lebih cerah banyak vitamin harga	1	1	[0.96157634]
tidak panas merah merah tidak buruk licin hasil panas repurchase tidak	0	0	[0.02067167]
takut tidak buruk tidak buruk timbul jerawat tidak buruk walaupun	0	0	[0.02236736]
tidak bisa ngecontrol cepat resap tidak normal tidak whitecast tekstur tidak ringan gampang diblend tidak padat gampang sedia repurchase gampang	1	1	[0.9995742]
tidak sabar nyata hasil bagus super suka bagus eksfoliasi hasil tidak puas halus jerawat cepat kering	1	1	[0.9344584]
angkat kotor tapi tidak waterproof tinggal tuang kapas wangi tidak aneh aneh tidak hilang efek negatif	1	1	[0.9694416]
lupa akhir memutusakan nyata cocok cocok tidak hilang jerawat efek lebih cerah tapi butuh lama hasil cerah wangi enak segar tekstur enak tidak kering rasa bersih	1	1	[0.97780037]
